Mean ELBO loss,Mean accuracy,Mean epoch wall clock times,Std ELBO loss,Std accuracy,Std epoch wall clock times
53.322517,0.22267334,6.4647393,1.8352275,0.00125262,0.2456459
409.29413,0.22346,12.951856,0.17425385,0.00050690904,0.53255725
429.39566,0.22822002,19.481756,0.38396913,0.0016030656,0.98513204
446.9398,0.23875666,25.878248,0.34452987,0.0018798547,1.3463391
455.71017,0.24970667,32.30937,0.07088605,0.0024114677,1.6750923
457.83893,0.26290333,38.815697,0.034472805,0.0031765606,1.9030403
459.0593,0.2925,45.2486,0.05738707,0.008436202,2.2417324
467.76154,0.41991,51.7053,3.7223473,0.011030044,2.538317
506.06076,0.76307005,58.18513,5.09223,0.053612944,2.868659
539.0864,0.8529734,64.75232,2.7805297,0.04270091,3.1714714
557.71027,0.89763993,71.52702,2.6725955,0.038839176,3.3628037
574.49725,0.9222334,78.22598,2.6649096,0.037169553,3.5662632
585.8245,0.9353701,84.87951,1.9710175,0.033978388,3.8500514
593.4267,0.9428167,91.63861,1.8025063,0.032704398,3.9889784
598.7545,0.94845337,98.33668,1.6196839,0.032977805,4.22634
602.83655,0.9525033,105.16921,1.4706895,0.030894885,4.222148
606.32,0.95673007,111.84108,1.3526708,0.031123657,4.477353
609.3386,0.9593467,118.49971,1.2489504,0.030882673,4.7315803
612.05615,0.96169996,125.20833,1.2729963,0.030492552,5.057127
614.5029,0.9627533,132.00368,1.2415892,0.029857418,5.420161
616.5656,0.96465665,138.7479,1.192768,0.02926936,5.68588
618.378,0.96543676,145.43889,1.1994665,0.028774206,5.9441214
620.0324,0.9662533,152.08647,1.179396,0.02875838,6.2096696
621.51904,0.9674334,158.75212,1.1450734,0.027866412,6.487704
622.8902,0.96803,165.42471,1.1162659,0.02791366,6.7647257
624.1287,0.96867,172.08281,1.0864866,0.027027152,7.03567
625.3039,0.96887666,178.78998,1.0425817,0.027382059,7.1080875
626.34064,0.96965,185.49164,1.0077202,0.027229482,7.2998943
627.32623,0.96979666,192.19327,0.9934579,0.026675338,7.523316
628.1879,0.96971005,199.11217,0.9255567,0.027054878,7.4933147
629.01154,0.9697734,206.062,0.87372714,0.02704669,7.558608
629.74133,0.97048664,212.88829,0.88224494,0.02640086,7.5352426
630.4282,0.97068995,219.6459,0.8621767,0.026893968,7.4763713
631.07733,0.9712,226.45894,0.8680843,0.02600739,7.471546
631.68,0.9711434,233.31609,0.8420663,0.02588003,7.527092
632.25653,0.9712467,240.2397,0.80952966,0.026016861,7.663641
632.76996,0.97133,247.16866,0.8248382,0.026280263,7.7991133
633.298,0.9717867,254.02075,0.82053584,0.026168348,7.8432565
633.7636,0.97152996,260.92114,0.8230855,0.026283208,7.9242983
634.22345,0.9717466,267.6298,0.84669375,0.025856111,7.9001684
634.5861,0.97213,274.35495,0.8429268,0.026060373,7.861467
