Mean ELBO loss,Mean accuracy,Mean epoch wall clock times,Std ELBO loss,Std accuracy,Std epoch wall clock times
-52.60851,0.23004334,1.6099722,12.916351,0.0009895873,0.080471985
400.93134,0.23102,3.2449684,0.63953406,0.0012654566,0.12558207
421.3085,0.23539333,4.8645434,0.6489652,0.0024285708,0.16720372
439.1755,0.24545668,6.509338,0.69297487,0.0016623144,0.24175379
452.14923,0.25661,8.187482,0.37542996,0.0030220095,0.31904185
456.7247,0.26735333,9.877709,0.14657186,0.004382187,0.3952492
458.2207,0.28298002,11.578429,0.14522962,0.005163667,0.44662035
459.84308,0.3361267,13.239397,0.50218004,0.02561066,0.51113015
468.73828,0.3853367,14.907508,2.7558117,0.046431504,0.55443394
486.00983,0.34656334,16.582865,2.873133,0.054298848,0.590923
497.84683,0.36063668,18.221512,4.3150024,0.08811822,0.6485297
513.2856,0.46259004,19.917557,5.668527,0.1373493,0.7155188
528.653,0.5117933,21.61135,5.295814,0.176993,0.7491848
541.27344,0.5036367,23.266005,5.026463,0.15922743,0.73541814
552.7599,0.5308467,24.921677,3.6064403,0.18529317,0.7248441
561.2109,0.5206967,26.58935,3.1942499,0.19434915,0.7809635
567.68774,0.5626766,28.30397,3.6422617,0.20886375,0.84857106
573.83606,0.59863335,30.035852,3.9112093,0.2359959,0.925432
578.6367,0.5857634,31.771719,4.3098164,0.24046406,0.9714005
582.1186,0.57731336,33.512066,4.515993,0.21519019,0.9750998
585.0781,0.5810134,35.23086,5.0109143,0.22705466,1.0522516
588.36786,0.5894,36.922436,5.258434,0.24547304,1.106324
590.9248,0.59455,38.565777,5.349443,0.23818839,1.1095691
593.00116,0.58054334,40.22344,5.60075,0.23618488,1.1144902
595.2578,0.59143,41.902836,6.0720463,0.24544305,1.1138942
596.9916,0.59330004,43.6145,6.525144,0.2431065,1.1138326
598.65765,0.5995101,45.302563,6.8527765,0.23620425,1.0973438
600.2453,0.59698004,47.00119,6.998463,0.23350786,1.0871001
601.88983,0.58574337,48.719055,7.1737127,0.2511964,1.15695
603.2038,0.60266,50.526165,7.4180183,0.24678813,1.2350014
604.0418,0.5993467,52.331043,7.8609834,0.2454893,1.329235
605.45135,0.5986134,54.0849,7.7712464,0.26305953,1.4189599
606.25433,0.5625067,55.804016,8.133072,0.23501657,1.4925122
607.07635,0.56972665,57.55119,8.401832,0.22700314,1.5388697
607.8794,0.59568,59.35285,8.587869,0.23811902,1.5407777
608.37415,0.59504,61.147114,8.94203,0.23111738,1.6346662
609.47327,0.61021,62.86146,8.808275,0.24545579,1.6714412
610.17096,0.6019934,64.6462,8.76601,0.25364116,1.6635664
610.7913,0.6125334,66.35549,8.858653,0.2609963,1.7528923
611.6833,0.59681004,68.05116,8.849583,0.2624281,1.7234808
611.8751,0.5920467,69.77963,9.138602,0.2611513,1.6838615
