Mean ELBO loss,Mean accuracy,Mean epoch wall clock times,Std ELBO loss,Std accuracy,Std epoch wall clock times
269.26016,0.23353334,3.6814,2.8741188,0.0015630831,0.17097305
428.59064,0.25424334,7.337589,0.2798796,0.0016308969,0.30873588
451.64258,0.38064334,11.007023,0.48689047,0.008447948,0.455924
479.18967,0.52145666,14.722951,1.3648201,0.023226656,0.5437638
511.08356,0.69878,18.525808,2.1349409,0.018559588,0.7286118
541.096,0.7965267,22.3121,1.6171708,0.010028493,0.75323534
561.6625,0.8569334,26.200306,1.9055735,0.0070440145,0.7317718
577.6268,0.8980101,30.011286,1.7237918,0.0094254995,0.80863553
588.25604,0.9226367,33.72269,1.6662277,0.0049966318,0.91126937
595.916,0.93768007,37.432045,1.7903484,0.0038809502,1.0599506
601.4542,0.9486367,41.120213,1.4609787,0.0025216604,1.2124888
605.7748,0.9554667,44.80617,1.1908216,0.0030297479,1.3504088
609.3322,0.9606434,48.483845,1.0979606,0.0025800162,1.5087432
612.38495,0.9647066,52.172634,1.0811049,0.0024059399,1.6341267
614.9554,0.96826,55.85024,1.0741475,0.0019763168,1.797645
617.0681,0.96984667,59.558895,1.0132569,0.0024995063,1.9112009
618.9884,0.97132,63.30734,0.971266,0.0017478042,2.0024378
620.671,0.9730701,67.108376,0.89619863,0.0019533616,2.105497
622.2387,0.9742734,70.95701,0.8682834,0.0019711868,2.2533317
623.65985,0.97483665,74.726074,0.8892192,0.0014193313,2.3694246
624.97614,0.97605,78.44633,0.9084276,0.0016416111,2.5043836
626.157,0.97642326,82.132576,0.86486346,0.0012997696,2.5935407
627.2627,0.9775133,85.86159,0.87558776,0.0015423477,2.697943
628.2856,0.9779134,89.65875,0.87103814,0.0011509758,2.7808232
629.23334,0.97879,93.37783,0.8307346,0.0011696039,2.8952618
630.143,0.97959673,97.17378,0.806192,0.0010998728,3.0327444
630.95184,0.97990334,100.99011,0.8017355,0.001522131,3.1977777
631.6457,0.98032665,104.736244,0.75830877,0.0015888757,3.3782387
632.3956,0.9802667,108.43206,0.7730255,0.0014291818,3.553471
633.0463,0.9808933,112.19812,0.7436266,0.0011977489,3.7492018
633.6631,0.98137665,116.02398,0.700975,0.0015986995,3.9774396
634.2501,0.98162,119.79449,0.6681252,0.0015480351,4.171356
634.79785,0.9819667,123.600746,0.66587734,0.0012421751,4.392716
635.3128,0.98223335,127.293205,0.6204089,0.0012083915,4.571864
635.78186,0.9826166,130.99767,0.63015753,0.0013464349,4.7216954
636.22424,0.9824233,134.70103,0.6154025,0.0011494315,4.882252
636.6504,0.98250335,138.35678,0.59659714,0.0010254267,5.010812
637.0505,0.98308337,142.04276,0.6041163,0.0011497887,5.1393948
637.4333,0.98315,145.7768,0.5573976,0.0012896706,5.311071
637.7966,0.9831833,149.53117,0.5534273,0.0009313632,5.528174
638.1328,0.98338664,153.3015,0.54268235,0.0008446152,5.739399
