Mean ELBO loss,Mean accuracy,Mean epoch wall clock times,Std ELBO loss,Std accuracy,Std epoch wall clock times
240.88887,0.25295332,2.293169,4.4448295,0.0022007425,0.2535077
426.73633,0.26856333,4.5427537,0.6700361,0.003931578,0.42535743
447.71628,0.30068,6.756944,0.79332083,0.007327066,0.460929
463.32748,0.33435667,8.941439,1.1360198,0.004040897,0.52852386
479.88376,0.3123667,11.138232,2.0070062,0.01637656,0.6507318
496.69815,0.29364,13.370114,1.6879083,0.044664625,0.73094934
512.49756,0.32844004,15.60909,4.61277,0.1175295,0.9130089
526.8814,0.32025334,17.906237,5.336649,0.10155877,1.063429
538.9379,0.30888,20.14184,4.761743,0.079346,1.213698
548.7505,0.29290667,22.339518,4.4896483,0.050527986,1.2656624
556.4634,0.34070334,24.491354,3.5979395,0.0866658,1.2797835
563.35565,0.38838336,26.672033,3.0405214,0.11091981,1.3677012
568.9562,0.45406005,28.85999,3.0618937,0.13331547,1.3858815
573.7036,0.44717002,31.137114,3.1002357,0.16895033,1.5894296
578.0885,0.47236,33.39414,3.0773516,0.19331652,1.7919959
581.97723,0.48882,35.544754,2.8131692,0.18976112,1.7921156
585.1816,0.48813006,37.77202,2.4662993,0.19366708,1.8245296
587.74725,0.51835,40.055767,2.0582824,0.20617834,1.9844218
590.7963,0.49804002,42.208057,2.4216273,0.20939517,1.9769388
592.30817,0.5106467,44.381054,2.7106752,0.22451925,2.0037446
594.22577,0.49591,46.522533,2.821411,0.20082617,2.014947
595.98,0.5115833,48.690197,2.9125848,0.18472527,2.0393758
597.6589,0.5314767,51.008915,2.6584544,0.18089779,2.204128
599.0241,0.5308467,53.344997,2.451539,0.16079311,2.4070628
600.15247,0.57332337,55.60722,2.6534355,0.1714621,2.4864914
601.7535,0.59690005,57.912212,2.417071,0.1796262,2.650602
603.35565,0.58895004,60.11283,2.562754,0.19137536,2.6639388
603.9392,0.5440734,62.307972,2.4188716,0.1800151,2.7262816
605.0161,0.5763134,64.52709,2.7641618,0.18558036,2.857637
605.3615,0.5909,66.674515,2.965073,0.17639829,2.8789346
606.4525,0.6049434,68.901405,2.679242,0.17109422,2.8195157
607.2107,0.59072334,71.124016,2.2071893,0.15674274,2.7639542
607.88135,0.63934666,73.36953,2.1725874,0.15972956,2.6592524
608.62006,0.63284004,75.589226,1.6291478,0.17189124,2.6030066
609.097,0.61363333,77.86514,2.2150126,0.119290106,2.5209427
609.8293,0.62869334,80.088295,2.388407,0.14529711,2.529432
610.27325,0.64002675,82.25457,1.6844126,0.159226,2.5102837
611.607,0.6567001,84.426605,2.5021875,0.17341216,2.556393
612.0306,0.67357004,86.63274,2.0832775,0.13982196,2.576754
612.7314,0.66362005,88.78876,2.2776878,0.13608247,2.5787454
613.19916,0.66548,90.98186,2.6253989,0.14699997,2.5702348
