Mean ELBO loss,Mean accuracy,Mean epoch wall clock times,Std ELBO loss,Std accuracy,Std epoch wall clock times
-24.37108,0.22259668,1.6684879,13.013711,0.0008130458,0.06397451
401.44662,0.22332335,3.3204782,0.67323554,0.0012499179,0.084432565
421.24643,0.22709668,5.0008616,0.7872405,0.0014611036,0.12374433
439.34848,0.23640335,6.662085,0.8614482,0.0013706585,0.15166368
452.45248,0.24797001,8.336995,0.43590456,0.0019717806,0.17851557
456.8145,0.25881,10.019515,0.106472895,0.0015706158,0.21423182
458.12125,0.26998338,11.728984,0.088435106,0.0013814684,0.25809005
459.0471,0.28446004,13.548937,0.09106351,0.0033963155,0.39574897
459.74414,0.31589666,15.377441,0.12928444,0.026106898,0.5706321
469.50864,0.5138933,17.101967,7.8512034,0.10953613,0.6370087
511.77588,0.83134,18.812475,10.046957,0.02711658,0.6824972
543.423,0.89957666,20.551962,4.724022,0.016626006,0.73056465
562.1639,0.9249367,22.33486,4.252748,0.013078173,0.81028414
577.7402,0.94273996,24.130325,3.1003828,0.008913393,0.91408163
587.33344,0.95296,25.888199,2.0592618,0.0073418086,0.99266905
594.36743,0.96034336,27.676437,1.6027416,0.0055555976,1.096766
599.48535,0.96429676,29.464115,1.1570629,0.0046442705,1.2014728
603.42584,0.9684567,31.220594,1.0649183,0.003937131,1.2810886
606.9206,0.97216004,32.973866,1.0181327,0.002713264,1.3600584
609.8845,0.9737666,34.750328,0.9761125,0.0018161169,1.4496561
612.42004,0.9758067,36.539547,0.8485565,0.0014235232,1.5494313
614.8146,0.9776067,38.311398,0.6819719,0.001077744,1.6386015
616.83984,0.9785967,40.182682,0.6482055,0.0011986276,1.8184392
618.6479,0.9795033,41.96883,0.62255555,0.0010855284,1.9095654
620.2682,0.9797633,43.685482,0.5590812,0.0009985892,1.9504797
621.7107,0.98045677,45.394726,0.5678248,0.0007976859,1.9848341
623.00244,0.98156995,47.132954,0.5426573,0.000741336,1.9312489
624.2102,0.9816834,48.888454,0.5474033,0.0010037316,1.8907754
625.33746,0.98184997,50.67359,0.49159035,0.00062919385,1.8954862
626.39777,0.98227674,52.462563,0.43772593,0.0012370093,1.8687016
627.35254,0.9825234,54.218544,0.4296281,0.0011831601,1.9213421
628.1967,0.98232335,55.948597,0.45384422,0.0009890887,1.9501859
629.0363,0.9827868,57.66161,0.4318884,0.0011388726,1.9711354
629.79974,0.9830967,59.408154,0.39033282,0.0007520742,2.0238175
630.4997,0.98324674,61.13209,0.4371526,0.0012212072,2.0588424
631.1576,0.9836133,62.93686,0.38131872,0.0007915215,2.1675985
631.76526,0.98378336,64.65034,0.37356356,0.0012764132,2.1960196
632.3673,0.9838767,66.35932,0.37808162,0.0010685842,2.2171898
632.9249,0.98439676,68.063354,0.3389055,0.0009594218,2.2369318
633.4025,0.98424006,69.77856,0.34269315,0.0007369277,2.2621355
633.8749,0.98441666,71.53401,0.3606538,0.00074026315,2.3399916
