Mean ELBO loss,Mean accuracy,Mean epoch wall clock times,Std ELBO loss,Std accuracy,Std epoch wall clock times
-82.336876,0.24209332,1.4034477,12.4137535,0.0011058744,0.09639376
399.77432,0.24306,2.8639224,0.69823337,0.0023025025,0.19689994
420.4445,0.24699001,4.3354135,0.79115134,0.0030205161,0.31135792
438.4445,0.25439668,5.7894044,0.8624338,0.0034434276,0.3891266
451.52448,0.26375332,7.2103877,0.49895406,0.008805344,0.4091983
456.59286,0.2704533,8.651825,0.30164826,0.010665247,0.44962576
458.33212,0.28638002,10.173461,0.5748485,0.020840988,0.52424973
460.30963,0.29918668,11.683549,1.842629,0.019445965,0.6803209
463.85666,0.3135267,13.239577,6.296207,0.0276935,0.7847026
469.81943,0.31736335,14.800629,9.723287,0.04681026,0.8806877
479.8343,0.28030667,16.192387,12.759405,0.030896315,0.8725699
490.46188,0.26537,17.614374,17.478264,0.036981758,0.8532043
502.08545,0.25821003,19.051424,23.155489,0.05023749,0.8144902
513.5304,0.25460002,20.563234,28.693705,0.042637255,0.74456406
522.6954,0.25575668,22.022886,32.914482,0.036595624,0.73460215
530.7006,0.27714667,23.47415,36.408836,0.058687586,0.7150356
537.37854,0.26071,24.948278,38.73063,0.04954016,0.7577225
543.19525,0.28198335,26.449873,38.648285,0.06391255,0.79824364
549.6779,0.28606,27.915745,36.245434,0.054621052,0.76619387
555.0284,0.28357336,29.377005,33.532684,0.051816966,0.72523993
560.02704,0.32464334,30.816355,30.95424,0.086360246,0.7216411
565.522,0.36019334,32.246613,26.471407,0.1550255,0.70737445
569.966,0.35875002,33.70254,23.5704,0.15980016,0.72669977
573.64496,0.35332,35.2121,21.495487,0.14027,0.79837066
576.9698,0.41390666,36.721104,19.003246,0.1987004,0.81965494
579.8594,0.42879,38.24353,16.807812,0.21202716,0.8030503
582.86786,0.37314,39.763298,15.063283,0.14464368,0.8826824
585.0967,0.4082733,41.291904,13.845072,0.15647863,0.87653387
587.6501,0.40563002,42.749454,12.393436,0.19325845,0.86358726
589.62885,0.4093933,44.32724,11.207505,0.16060668,0.8757153
591.2907,0.38716337,45.906704,10.546389,0.11702614,0.89976984
592.8968,0.40127668,47.44534,9.646784,0.16098861,0.936542
593.95294,0.37958333,48.951607,9.376056,0.12738673,0.98131204
595.08215,0.41255003,50.534286,9.181763,0.14603008,0.99938774
596.70154,0.40356335,52.119446,8.440434,0.15315308,0.97834367
597.9892,0.4149433,53.739624,7.891082,0.14460386,1.0199119
598.8483,0.40689334,55.298473,7.756261,0.17110883,1.0115145
599.9427,0.41101667,56.84961,7.2316604,0.17746437,0.9564426
600.5913,0.40882334,58.282135,7.428528,0.15570647,0.96652496
601.03467,0.40950003,59.798084,7.78044,0.12847789,0.90888196
602.05,0.43072,61.260048,6.992425,0.18572074,0.8976251
